,0
num__Weekly_GenAI_Hours,0.1281998248838374
num__ratio_ia_estudio,0.08752393532256297
num__Perceived_AI_Dependency,0.07030955690580898
num__uso_intensivo_ia,0.05847243301827065
num__dependencia_ia_alta,0.04855448139065732
num__Anxiety_Level_During_Exams,0.01958826217560561
num__Traditional_Study_Hours,0.013984553737474759
cat__Year_of_Study_Freshman,0.013430824818414955
cat__Prompt_Engineering_Skill_Beginner,0.010275033215776386
num__Pre_Semester_GPA,0.009708264002253442
cat__Year_of_Study_Graduate,0.009180822564355484
cat__Prompt_Engineering_Skill_Intermediate,0.00894750975923353
num__Post_Semester_GPA,0.006962364265572507
cat__Major_Category_Humanities,0.0059133839842269165
cat__Year_of_Study_Junior,0.005536039559315364
cat__Primary_Use_Case_Direct_Answer_Generation,0.004861595197797941
cat__Primary_Use_Case_Copywriting/Drafting,0.004407766908105737
num__Tool_Diversity,0.0042139066544737425
cat__Institutional_Policy_Allowed_With_Citation,0.004199371265814156
cat__Paid_Subscription_True,0.003246594361475008
